paper_id,claim_id,table_figure,claim,claim_type,mode,digits,value_script,value_paper,match,value_rewrite,match_rewrite,holds,defect_locus,notes
offer-westort_coppock_green_2021,fig1_case2_static_inferior,figure_1,"Case 2 highest posterior probability of an inferior arm, static",pipeline,,2,NA,0.36,NA,0.3574,1,NA,NA,"The rewrite gives 0.36, which is the published value."
offer-westort_coppock_green_2021,fig1_case3_ts_best,figure_1,"Case 3 posterior probability of the true best arm, Thompson sampling",pipeline,,2,NA,0.88,NA,0.8764,1,NA,NA,"The rewrite gives 0.88, which is the published value."
offer-westort_coppock_green_2021,fig1_case3_ts_second,figure_1,"Case 3 posterior probability of the second best arm, Thompson sampling",pipeline,,2,NA,0.04,NA,0.0366,1,NA,NA,"The rewrite gives 0.04, which is the published value."
offer-westort_coppock_green_2021,fig1_case3_static_second,figure_1,"Case 3 posterior probability of the second best arm, static",pipeline,,2,NA,0.66,NA,0.6574,1,NA,NA,"The rewrite gives 0.66, which is the published value."
offer-westort_coppock_green_2021,fig1_case3_static_best,figure_1,"Case 3 posterior probability of the true best arm, static",pipeline,,2,NA,0.24,NA,0.2392,1,NA,NA,"The rewrite gives 0.24, which is the published value."
offer-westort_coppock_green_2021,s1_n,text,Subjects recruited for study 1,definitional,,0,NA,1000,NA,1000,1,NA,NA,"The rewrite gives 1000, which is the published value."
offer-westort_coppock_green_2021,s1_ts_prob,text,Probability of assignment by Thompson sampling,definitional,,2,NA,0.90,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,s1_srs_prob,text,Probability of assignment by balanced simple random assignment,definitional,,2,NA,0.10,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,s1_mw_arms,text,Minimum wage treatment arms,definitional,,0,NA,10,NA,10,1,NA,NA,"The rewrite gives 10, which is the published value."
offer-westort_coppock_green_2021,s1_rtw_arms,text,Right-to-work treatment arms,definitional,,0,NA,8,NA,8,1,NA,NA,"The rewrite gives 8, which is the published value."
offer-westort_coppock_green_2021,s1_payment,text,"Payment per subject, in dollars",definitional,,0,NA,1,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,s1_field_dates,text,"Field period, June 21 to June 30, 2018",structural,,0,NA,2018,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,s1_mw_top_posterior,text,Minimum wage leading arm's posterior probability of being best,pipeline,,3,NA,0.219,NA,0.2186159956150709,1,NA,NA,"The rewrite gives 0.219, which is the published value."
offer-westort_coppock_green_2021,s1_mw_top_mean,text,Minimum wage leading arm's estimated mean,pipeline,,3,NA,0.895,NA,0.8648207817917613,0,NA,paper_internal,"The sentence's posterior probability and respondent count belong to Proposal 3 (N), whose estimated mean is 0.865; 0.895 is Proposal 3 (Y)'s, over 121 respondents."
offer-westort_coppock_green_2021,s1_mw_top_n,text,Respondents assigned to the minimum wage leading arm,pipeline,,0,183,183,1,183,1,NA,NA,"The rewrite gives 183, which is the published value."
offer-westort_coppock_green_2021,s1_mw_arms_below_08,text,Minimum wage arms with a success rate under 0.8,descriptive,,0,NA,2,NA,2,NA,1,NA,The estimates support the claim.
offer-westort_coppock_green_2021,s1_mw_f_p,text,Minimum wage randomization inference F-test p-value,pipeline,,3,0.429,0.429,1,0.4290000000000001,1,NA,NA,"The rewrite gives 0.429, which is the published value."
offer-westort_coppock_green_2021,s1_rtw_top_posterior,text,Right-to-work leading arm's posterior probability of being best,pipeline,,3,NA,0.906,NA,0.9059046533093148,1,NA,NA,"The rewrite gives 0.906, which is the published value."
offer-westort_coppock_green_2021,s1_rtw_second_posterior,text,Right-to-work second arm's posterior probability of being best,pipeline,,3,NA,0.085,NA,0.08490643920378865,1,NA,NA,"The rewrite gives 0.085, which is the published value."
offer-westort_coppock_green_2021,s1_rtw_top_mean,text,Right-to-work leading arm's estimated mean,pipeline,,3,NA,0.926,NA,0.925850942358672,1,NA,NA,"The rewrite gives 0.926, which is the published value."
offer-westort_coppock_green_2021,s1_rtw_second_mean,text,Right-to-work second arm's estimated mean,pipeline,,3,NA,0.934,NA,0.9336187787912604,1,NA,NA,"The rewrite gives 0.934, which is the published value."
offer-westort_coppock_green_2021,s1_rtw_top_n,text,Respondents assigned to the right-to-work leading arm,pipeline,,0,721,721,1,721,1,NA,NA,"The rewrite gives 721, which is the published value."
offer-westort_coppock_green_2021,s1_rtw_second_n,text,Respondents assigned to the right-to-work second arm,pipeline,,0,82,82,1,82,1,NA,NA,"The rewrite gives 82, which is the published value."
offer-westort_coppock_green_2021,s1_rtw_f_p,text,Right-to-work randomization inference F-test p-value,pipeline,,3,0.199,0.199,1,0.19899999999999995,1,NA,NA,"The rewrite gives 0.199, which is the published value."
offer-westort_coppock_green_2021,s1_static_mw_per_arm,text,Expected assignments per minimum wage arm under a static design,definitional,,0,NA,100,NA,100,1,NA,NA,"The rewrite gives 100, which is the published value."
offer-westort_coppock_green_2021,s1_static_rtw_per_arm,text,Expected assignments per right-to-work arm under a static design,definitional,,0,NA,125,NA,125,1,NA,NA,"The rewrite gives 125, which is the published value."
offer-westort_coppock_green_2021,s1_mw_correct_adaptive,text,"Share of simulated adaptive minimum wage trials picking the best proposal, per cent",pipeline,,0,NA,47,NA,46.75999999999997,1,NA,NA,"The rewrite gives 47, which is the published value."
offer-westort_coppock_green_2021,s1_mw_correct_static,text,"Share of simulated static minimum wage trials picking the best proposal, per cent",pipeline,,0,NA,37,NA,36.45999999999998,0,NA,paper_internal,"The simulations pick the best minimum wage proposal in 36.46 per cent of runs, which is 36 per cent at the precision the sentence uses. Rounding to one decimal first gives 36.5 and then 37."
offer-westort_coppock_green_2021,s1_rtw_correct_adaptive,text,"Share of simulated adaptive right-to-work trials picking the best proposal, per cent",pipeline,,0,NA,65,NA,65.19,1,NA,NA,"The rewrite gives 65, which is the published value."
offer-westort_coppock_green_2021,s1_rtw_correct_static,text,"Share of simulated static right-to-work trials picking the best proposal, per cent",pipeline,,0,NA,58,NA,58.43000000000001,1,NA,NA,"The rewrite gives 58, which is the published value."
offer-westort_coppock_green_2021,s1_mw_se_ratio,text,"Static standard error as a percentage of the adaptive one, minimum wage",pipeline,,0,NA,90,NA,89.71502344768567,1,NA,NA,"The rewrite gives 90, which is the published value."
offer-westort_coppock_green_2021,s1_rtw_se_ratio,text,"Static standard error as a percentage of the adaptive one, right-to-work",pipeline,,0,NA,133,NA,133.34161281819948,1,NA,NA,"The rewrite gives 133, which is the published value."
offer-westort_coppock_green_2021,s1_rtw_se_ratio_inverse,text,"Adaptive standard error as a percentage of the static one, right-to-work",pipeline,,0,NA,75,NA,74.9953430789396,1,NA,NA,"The rewrite gives 75, which is the published value."
offer-westort_coppock_green_2021,s2_arms,text,Arms in the study 2 trial,definitional,,0,NA,6,NA,6,1,NA,NA,"The rewrite gives 6, which is the published value."
offer-westort_coppock_green_2021,s2_treatment_arms,text,Treatment arms in the study 2 trial,definitional,,0,NA,5,NA,5,1,NA,NA,"The rewrite gives 5, which is the published value."
offer-westort_coppock_green_2021,s2_lottery_prize,text,"Lottery prize, in dollars",definitional,,0,NA,100,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,s2_extra_time_seconds,text,Seconds allotted under the Extra Time condition,definitional,,0,NA,45,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,s2_obs_per_day,text,Observations gathered per day,structural,approximate,0,NA,300,NA,322.5,NA,1,NA,The article hedges this figure; the pipeline gives 322.5.
offer-westort_coppock_green_2021,s2_days,text,Days of data collection,definitional,,0,NA,10,NA,10,1,NA,NA,"The rewrite gives 10, which is the published value."
offer-westort_coppock_green_2021,s2_payment,text,"Payment per subject, in dollars",definitional,,0,NA,1,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,s2_field_dates,text,"Field period, November 27 to December 10, 2019",structural,,0,NA,2019,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,s2_control_deficit_rep,text,"Republicans in the control condition answering the deficit question correctly, per cent",pipeline,,0,NA,24,NA,23.958333333333336,1,NA,NA,"The rewrite gives 24, which is the published value."
offer-westort_coppock_green_2021,s2_control_deficit_dem,text,"Democrats in the control condition answering the deficit question correctly, per cent",pipeline,,0,NA,62,NA,62.27758007117438,1,NA,NA,"The rewrite gives 62, which is the published value."
offer-westort_coppock_green_2021,s2_control_unemp_rep,text,"Republicans in the control condition answering the unemployment question correctly, per cent",pipeline,,0,NA,75,NA,75.41666666666667,1,NA,NA,"The rewrite gives 75, which is the published value."
offer-westort_coppock_green_2021,s2_control_unemp_dem,text,"Democrats in the control condition answering the unemployment question correctly, per cent",pipeline,,0,NA,34,NA,34.16370106761566,1,NA,NA,"The rewrite gives 34, which is the published value."
offer-westort_coppock_green_2021,s2_control_nfi_rep,text,"Republicans in the control condition answering the farm income question correctly, per cent",pipeline,,0,NA,22,NA,21.875,1,NA,NA,"The rewrite gives 22, which is the published value."
offer-westort_coppock_green_2021,s2_control_nfi_dem,text,"Democrats in the control condition answering the farm income question correctly, per cent",pipeline,,0,NA,59,NA,59.430604982206404,1,NA,NA,"The rewrite gives 59, which is the published value."
offer-westort_coppock_green_2021,s2_independents_n,text,Pure independents in study 2,pipeline,,0,NA,568,NA,568,1,NA,NA,"The rewrite gives 568, which is the published value."
offer-westort_coppock_green_2021,s2_pid_scale,text,Points on the partisanship scale,definitional,,0,NA,7,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,s2_rep_lottery_ate,text,"Republican Lottery effect, percentage points",pipeline,,1,NA,4.1,NA,4.134461703550386,1,NA,NA,"The rewrite gives 4.1, which is the published value."
offer-westort_coppock_green_2021,s2_rep_lottery_se,text,"Republican Lottery standard error, percentage points",pipeline,,1,NA,1.7,NA,1.6709055568449298,1,NA,NA,"The rewrite gives 1.7, which is the published value."
offer-westort_coppock_green_2021,s2_rep_lottery_n,text,Republicans assigned to the Lottery condition,pipeline,,0,NA,552,NA,552,1,NA,NA,"The rewrite gives 552, which is the published value."
offer-westort_coppock_green_2021,s2_rep_total_n,text,Republicans in study 2,pipeline,,0,NA,1258,NA,1258,1,NA,NA,"The rewrite gives 1258, which is the published value."
offer-westort_coppock_green_2021,s2_rep_control_n,text,Republicans assigned to the control condition,pipeline,,0,NA,493,NA,493,1,NA,NA,"The rewrite gives 493, which is the published value."
offer-westort_coppock_green_2021,s2_rep_static_se,text,"Republican Lottery standard error under a simulated static design, percentage points",pipeline,unseeded,1,NA,2.5,NA,2.587670641488809,NA,1,NA,A bootstrap the deposit does not seed reproducibly; the pipeline gives 2.6.
offer-westort_coppock_green_2021,s2_rep_lottery_p,text,"Republican Lottery p-value, adaptive design",pipeline,,3,NA,0.014,NA,0.01369312293828367,1,NA,NA,"The rewrite gives 0.014, which is the published value."
offer-westort_coppock_green_2021,s2_rep_static_p,text,"Republican Lottery p-value, simulated static design",pipeline,unseeded,3,NA,0.152,NA,0.11714349218820153,NA,0,archive,"The deposit's own script for this figure stops before reaching it, on a saved object no deposited file contains. Over five seeds of the bootstrap the p-value runs 0.076 to 0.117, and the estimate and standard error printed beside it on Figure F.8 both reproduce."
offer-westort_coppock_green_2021,s2_rep_4pt_arm,text,The article names the 4.1-point Republican effect as the accuracy treatment's,descriptive,,0,NA,1,NA,0,NA,0,paper_internal,"The 4.1-point Republican effect is the Lottery arm's, as the preceding sentence and Figure 6 both say; the Accuracy arm's estimate is -0.053."
offer-westort_coppock_green_2021,s2_rep_ri_p,text,Republican randomization inference F-test p-value,pipeline,,3,0.013,0.028,0,0.01100000000000001,0,NA,paper_internal,"The article gives the Republicans 0.028, which is the value the deposited script returns for the Democrats; the value it returns for the Republicans is 0.013, which the article gives the Democrats. The pipeline returns 0.011 here, against the deposit's 0.013."
offer-westort_coppock_green_2021,s2_dem_lottery_ate,text,"Democratic Lottery effect, percentage points",pipeline,,1,NA,7.1,NA,7.1042004028112045,1,NA,NA,"The rewrite gives 7.1, which is the published value."
offer-westort_coppock_green_2021,s2_dem_lottery_p,text,"Democratic Lottery p-value, unadjusted",pipeline,,3,NA,0.007,NA,0.00667861661272822,1,NA,NA,"The rewrite gives 0.007, which is the published value."
offer-westort_coppock_green_2021,s2_dem_lottery_ate_adj,text,"Democratic Lottery effect, covariate adjusted, percentage points",pipeline,,1,NA,5.3,NA,5.340597515771311,1,NA,NA,"The rewrite gives 5.3, which is the published value."
offer-westort_coppock_green_2021,s2_dem_lottery_p_adj,text,"Democratic Lottery p-value, covariate adjusted",pipeline,,2,NA,0.03,NA,0.0332409983132314,1,NA,NA,"The rewrite gives 0.03, which is the published value."
offer-westort_coppock_green_2021,s2_dem_ri_p,text,Democratic randomization inference F-test p-value,pipeline,,3,0.028,0.013,0,0.02700000000000002,0,NA,paper_internal,"The article gives the Democrats 0.013, which is the value the deposited script returns for the Republicans; the value it returns for the Democrats is 0.028, which the article gives the Republicans. The two are transposed, and the observed F statistics settle which way round: the Republican F is the larger of the two, so the Republican p-value is the smaller. The pipeline returns 0.027 here, against the deposit's 0.028."
offer-westort_coppock_green_2021,s2_bols_p_rep,text,Republican Lottery p-value under batched OLS,pipeline,,3,NA,0.026,NA,0.02601999999999993,1,NA,NA,"The rewrite gives 0.026, which is the published value."
offer-westort_coppock_green_2021,s2_bols_p_dem,text,Democratic Lottery p-value under batched OLS,pipeline,,3,NA,0.018,NA,0.01785100000000006,1,NA,NA,"The rewrite gives 0.018, which is the published value."
offer-westort_coppock_green_2021,star_threshold,text,Significance threshold marked by an asterisk,definitional,,2,NA,0.05,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,si_crossrefs,text,"Supplement sections cited in the article, each at the page the article gives",structural,,0,NA,13,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appa_zt,text,Cap Zt on the control catch-up share,definitional,,2,NA,0.90,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appc1_prob_best,text,Worked example: probability that arm one is best after one success and one failure,definitional,,3,NA,0.833,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appc2_expected_mean,text,Worked example: expected sample mean under Thompson sampling,definitional,,3,NA,0.458,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appc2_expected_max,text,Worked example: expected sample mean of the best observed arm,definitional,,3,NA,0.708,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appc2_ipw,text,Worked example: expected IPW estimate for either arm,definitional,,1,NA,0.5,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,table_c1,table_c1,"States after two periods, with their probabilities",definitional,,0,NA,24,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appc3_t1_posterior,text,Worked example: posterior probability that arm T1 is best,definitional,,3,NA,0.929,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appc3_t2_posterior,text,Worked example: posterior probability that arm T2 is best,definitional,,3,NA,0.071,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appc3_pt1_period2,text,Worked example: period two assignment probability for T1,definitional,,3,NA,0.619,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appc3_pt2_period2,text,Worked example: period two assignment probability for T2,definitional,,3,NA,0.048,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appc3_t1_posterior2,text,Worked example: second period posterior probability for T1,definitional,,3,NA,0.713,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appc3_t2_posterior2,text,Worked example: second period posterior probability for T2,definitional,,3,NA,0.287,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appc3_pc_period3,text,Worked example: period three assignment probability for the control,definitional,,3,NA,0.630,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appc3_pt1_period3,text,Worked example: period three assignment probability for T1,definitional,,3,NA,0.264,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appc3_pt2_period3,text,Worked example: period three assignment probability for T2,definitional,,3,NA,0.106,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appd1_total_obs,text,Total observations in every appendix D simulation,definitional,,0,NA,1000,NA,1000,1,NA,NA,"The rewrite gives 1000, which is the published value."
offer-westort_coppock_green_2021,appd1_gains_by_five,text,Most of the gain in best arm selection is realised by five batches,descriptive,,0,NA,1,NA,1,NA,1,NA,The estimates support the claim.
offer-westort_coppock_green_2021,table_1_cells,table_1,Published cells in Table 1,pipeline,,0,NA,39,NA,39,1,NA,NA,"The rewrite gives 39, which is the published value."
offer-westort_coppock_green_2021,table_d2_cells,table_d2,Published cells in Table D.2,pipeline,,0,NA,255,NA,255,1,NA,NA,"The rewrite gives 255, which is the published value."
offer-westort_coppock_green_2021,table_d3_cells,table_d3,Published cells in Table D.3,pipeline,,0,NA,165,NA,165,1,NA,NA,"The rewrite gives 165, which is the published value."
offer-westort_coppock_green_2021,table_d4_cells,table_d4,Published cells in Table D.4,pipeline,,0,NA,150,NA,150,1,NA,NA,"The rewrite gives 150, which is the published value."
offer-westort_coppock_green_2021,table_d5_cells,table_d5,Published cells in Table D.5,pipeline,,0,NA,150,NA,150,1,NA,NA,"The rewrite gives 150, which is the published value."
offer-westort_coppock_green_2021,table_e6_rates,table_e6,State minimum wage rates as of June 2018,transcribed,,0,NA,50,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appf1_control_mean_dem,text,Democratic control condition response rate,pipeline,,3,NA,0.956,NA,0.9556588073099844,1,NA,NA,"The rewrite gives 0.956, which is the published value."
offer-westort_coppock_green_2021,appf1_control_mean_rep,text,Republican control condition response rate,pipeline,,3,NA,0.977,NA,0.9768940243394464,1,NA,NA,"The rewrite gives 0.977, which is the published value."
offer-westort_coppock_green_2021,appf1_google_drop,text,"Google condition response rate shortfall, percentage points",pipeline,approximate,0,NA,5,NA,4.863290093642015,NA,1,NA,The article hedges this figure; the pipeline gives 4.9.
offer-westort_coppock_green_2021,appf1_extratime_drop_dem,text,"Democratic Extra Time response rate shortfall, percentage points",pipeline,,0,NA,32,NA,32.144870285904865,1,NA,NA,"The rewrite gives 32, which is the published value."
offer-westort_coppock_green_2021,appf1_extratime_drop_rep,text,"Republican Extra Time response rate shortfall, percentage points",pipeline,,0,NA,23,NA,23.383255643298043,1,NA,NA,"The rewrite gives 23, which is the published value."
offer-westort_coppock_green_2021,table_f7_cells,table_f7,Published cells in Table F.7,pipeline,,0,NA,64,NA,64,1,NA,NA,"The rewrite gives 64, which is the published value."
offer-westort_coppock_green_2021,appf8_bootstraps,text,Bootstrap replicates behind the simulated static design,definitional,,0,NA,1000,NA,1000,1,NA,NA,"The rewrite gives 1000, which is the published value."
offer-westort_coppock_green_2021,appg_n,text,Subjects in the adaptive conjoint trial,definitional,,0,NA,979,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appg_mturk_n,text,Subjects in the static conjoint comparison,definitional,,0,NA,979,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appg_profiles,text,Unique experimental arms in the conjoint,definitional,,0,NA,192,NA,192,1,NA,NA,"The rewrite gives 192, which is the published value."
offer-westort_coppock_green_2021,appg_levels_z1,text,Levels of the personal limits attribute,definitional,,0,NA,4,NA,4,1,NA,NA,"The rewrite gives 4, which is the published value."
offer-westort_coppock_green_2021,appg_levels_z2,text,Levels of the corporate limits attribute,definitional,,0,NA,3,NA,3,1,NA,NA,"The rewrite gives 3, which is the published value."
offer-westort_coppock_green_2021,appg_levels_z3,text,Levels of the public funding attribute,definitional,,0,NA,4,NA,4,1,NA,NA,"The rewrite gives 4, which is the published value."
offer-westort_coppock_green_2021,appg_levels_z4,text,Levels of the disclosures attribute,definitional,,0,NA,4,NA,4,1,NA,NA,"The rewrite gives 4, which is the published value."
offer-westort_coppock_green_2021,appg_waves,text,Waves of conjoint data collection,definitional,,0,NA,10,NA,10,1,NA,NA,"The rewrite gives 10, which is the published value."
offer-westort_coppock_green_2021,appg_payment,text,"Payment per conjoint subject, in dollars",definitional,,0,NA,1,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appg_field_dates,text,"Conjoint field periods, November 26 to December 7 2018 and November 4 to 12 2018",structural,,0,NA,2018,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,appg_adaptive_p1,text,"Adaptive design, most preferred profile's probability of being best",pipeline,,3,NA,0.338,NA,0.33828,1,NA,NA,"The rewrite gives 0.338, which is the published value."
offer-westort_coppock_green_2021,appg_adaptive_p2,text,"Adaptive design, second profile's probability of being best",pipeline,,3,NA,0.213,NA,0.21251,1,NA,NA,"The rewrite gives 0.213, which is the published value."
offer-westort_coppock_green_2021,appg_adaptive_p3,text,"Adaptive design, third profile's probability of being best",pipeline,,3,NA,0.076,NA,0.07608,1,NA,NA,"The rewrite gives 0.076, which is the published value."
offer-westort_coppock_green_2021,appg_static_p1,text,"Static design, most preferred profile's probability of being best",pipeline,,3,NA,0.194,NA,0.19398,1,NA,NA,"The rewrite gives 0.194, which is the published value."
offer-westort_coppock_green_2021,appg_static_p2,text,"Static design, second profile's probability of being best",pipeline,,3,NA,0.161,NA,0.16124,1,NA,NA,"The rewrite gives 0.161, which is the published value."
offer-westort_coppock_green_2021,appg_static_p3,text,"Static design, third profile's probability of being best",pipeline,,3,NA,0.140,NA,0.13972,1,NA,NA,"The rewrite gives 0.140, which is the published value."
offer-westort_coppock_green_2021,appg_adaptive_profile,text,"The adaptive design's most preferred profile is $10,000 personal limits, prohibit all corporate contributions, prohibit public funding, disclose all contributions",descriptive,,0,NA,1,NA,1,NA,1,NA,The estimates support the claim.
offer-westort_coppock_green_2021,appg_static_profile,text,"The static design's most preferred profile is $10,000 personal limits, prohibit all corporate contributions, a 1:1 match, and disclosure above $500",descriptive,,0,NA,1,NA,1,NA,1,NA,The estimates support the claim.
offer-westort_coppock_green_2021,table_g8,table_g8,Conjoint attribute levels and outcome wording,transcribed,,0,NA,15,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,table_2_wording,table_2,Study 1 ballot measure wording,transcribed,,0,NA,5,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,table_3_wording,table_3,Study 2 question wording and answers,transcribed,,0,NA,3,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,table_4_wording,table_4,Study 2 treatment preambles and reminders,transcribed,,0,NA,5,NA,NA,NA,NA,NA,No counterpart in the pipeline; verified at the point of use.
offer-westort_coppock_green_2021,figure_4_minimum_wage_proposal_3_y__estimate,figure_4,"Figure 4, Minimum wage, Proposal 3 (Y), estimate",pipeline,,3,NA,0.895,NA,0.8951311890026931,1,NA,NA,"The rewrite gives 0.895, which is the published value."
offer-westort_coppock_green_2021,figure_4_minimum_wage_proposal_3_y__se,figure_4,"Figure 4, Minimum wage, Proposal 3 (Y), se",pipeline,,3,NA,0.033,NA,0.03252252553708016,1,NA,NA,"The rewrite gives 0.033, which is the published value."
offer-westort_coppock_green_2021,figure_4_minimum_wage_proposal_5_y__estimate,figure_4,"Figure 4, Minimum wage, Proposal 5 (Y), estimate",pipeline,,3,NA,0.872,NA,0.8720030091008991,1,NA,NA,"The rewrite gives 0.872, which is the published value."
offer-westort_coppock_green_2021,figure_4_minimum_wage_proposal_5_y__se,figure_4,"Figure 4, Minimum wage, Proposal 5 (Y), se",pipeline,,3,NA,0.024,NA,0.02435332751856122,1,NA,NA,"The rewrite gives 0.024, which is the published value."
